{'dept_num': 108, 'course_num': 215, 'instructor_name': 'TESSA CONROY', 'section_num': '001', 'instructor_id': '0005851160'},,,TESSA CONROY',TESSA CONROY,0005851160'},0005851160,,108,215,0005851160,TESSA CONROY
{'dept_num': 108, 'course_num': 306, 'instructor_name': 'JUSTIN KREMERS', 'section_num': '301', 'instructor_id': '0005935605'},,,JUSTIN KREMERS',JUSTIN KREMERS,0005935605'},0005935605,,108,306,0005935605,JUSTIN KREMERS
{'dept_num': 108, 'course_num': 306, 'instructor_name': 'MATTHEW ALLARD', 'section_num': '302', 'instructor_id': '0005909472'},,,MATTHEW ALLARD',MATTHEW ALLARD,0005909472'},0005909472,,108,306,0005909472,MATTHEW ALLARD
{'dept_num': 108, 'course_num': 306, 'instructor_name': 'JUSTIN KREMERS', 'section_num': '303', 'instructor_id': '0005935605'},,,JUSTIN KREMERS',JUSTIN KREMERS,0005935605'},0005935605,,108,306,0005935605,JUSTIN KREMERS
{'dept_num': 108, 'course_num': 306, 'instructor_name': 'MATTHEW ALLARD', 'section_num': '304', 'instructor_id': '0005909472'},,,MATTHEW ALLARD',MATTHEW ALLARD,0005909472'},0005909472,,108,306,0005909472,MATTHEW ALLARD
{'dept_num': 108, 'course_num': 306, 'instructor_name': 'JUSTIN KREMERS', 'section_num': '305', 'instructor_id': '0005935605'},,,JUSTIN KREMERS',JUSTIN KREMERS,0005935605'},0005935605,,108,306,0005935605,JUSTIN KREMERS
{'dept_num': 108, 'course_num': 306, 'instructor_name': 'MATTHEW ALLARD', 'section_num': '306', 'instructor_id': '0005909472'},,,MATTHEW ALLARD',MATTHEW ALLARD,0005909472'},0005909472,,108,306,0005909472,MATTHEW ALLARD
{'dept_num': 108, 'course_num': 322, 'instructor_name': 'XIAODONG DU', 'section_num': '001', 'instructor_id': '0003112273'},,,XIAODONG DU',XIAODONG DU,0003112273'},0003112273,,108,322,0003112273,XIAODONG DU
{'dept_num': 108, 'course_num': 322, 'instructor_name': 'LICHENG XU', 'section_num': '301', 'instructor_id': '0005692867'},,,LICHENG XU',LICHENG XU,0005692867'},0005692867,,108,322,0005692867,LICHENG XU
{'dept_num': 108, 'course_num': 322, 'instructor_name': 'LICHENG XU', 'section_num': '302', 'instructor_id': '0005692867'},,,LICHENG XU',LICHENG XU,0005692867'},0005692867,,108,322,0005692867,LICHENG XU
{'dept_num': 108, 'course_num': 322, 'instructor_name': 'LICHENG XU', 'section_num': '303', 'instructor_id': '0005692867'},,,LICHENG XU',LICHENG XU,0005692867'},0005692867,,108,322,0005692867,LICHENG XU
{'dept_num': 108, 'course_num': 322, 'instructor_name': 'LICHENG XU', 'section_num': '304', 'instructor_id': '0005692867'},,,LICHENG XU',LICHENG XU,0005692867'},0005692867,,108,322,0005692867,LICHENG XU
{'dept_num': 108, 'course_num': 343, 'instructor_name': 'SARAH JOHNSTON', 'section_num': '001', 'instructor_id': '0003889233'},,,SARAH JOHNSTON',SARAH JOHNSTON,0003889233'},0003889233,,108,343,0003889233,SARAH JOHNSTON
{'dept_num': 108, 'course_num': 343, 'instructor_name': 'ADAM THEISING', 'section_num': '301', 'instructor_id': '0005548729'},,,ADAM THEISING',ADAM THEISING,0005548729'},0005548729,,108,343,0005548729,ADAM THEISING
{'dept_num': 108, 'course_num': 343, 'instructor_name': 'ADAM THEISING', 'section_num': '302', 'instructor_id': '0005548729'},,,ADAM THEISING',ADAM THEISING,0005548729'},0005548729,,108,343,0005548729,ADAM THEISING
{'dept_num': 108, 'course_num': 343, 'instructor_name': 'ADAM THEISING', 'section_num': '303', 'instructor_id': '0005548729'},,,ADAM THEISING',ADAM THEISING,0005548729'},0005548729,,108,343,0005548729,ADAM THEISING
{'dept_num': 108, 'course_num': 350, 'instructor_name': 'TAIYA BACH', 'section_num': '001', 'instructor_id': '0003222173'},,,TAIYA BACH',TAIYA BACH,0003222173'},0003222173,,108,350,0003222173,TAIYA BACH
{'dept_num': 108, 'course_num': 350, 'instructor_name': 'JEAN-PAUL CHAVAS', 'section_num': '001', 'instructor_id': '0002601756'},,,JEAN-PAUL CHAVAS',JEAN-PAUL CHAVAS,0002601756'},0002601756,,108,350,0002601756,JEAN-PAUL CHAVAS
{'dept_num': 108, 'course_num': 350, 'instructor_name': 'ZIQI QIAO', 'section_num': '301', 'instructor_id': '0005033665'},,,ZIQI QIAO',ZIQI QIAO,0005033665'},0005033665,,108,350,0005033665,ZIQI QIAO
{'dept_num': 108, 'course_num': 350, 'instructor_name': 'ZIYI LU', 'section_num': '302', 'instructor_id': '0005498615'},,,ZIYI LU',ZIYI LU,0005498615'},0005498615,,108,350,0005498615,ZIYI LU
{'dept_num': 108, 'course_num': 350, 'instructor_name': 'ZIYI LU', 'section_num': '303', 'instructor_id': '0005498615'},,,ZIYI LU',ZIYI LU,0005498615'},0005498615,,108,350,0005498615,ZIYI LU
{'dept_num': 108, 'course_num': 350, 'instructor_name': 'ZIYI LU', 'section_num': '304', 'instructor_id': '0005498615'},,,ZIYI LU',ZIYI LU,0005498615'},0005498615,,108,350,0005498615,ZIYI LU
{'dept_num': 108, 'course_num': 350, 'instructor_name': 'GAURAV DOSHI', 'section_num': '305', 'instructor_id': '0005907759'},,,GAURAV DOSHI',GAURAV DOSHI,0005907759'},0005907759,,108,350,0005907759,GAURAV DOSHI
{'dept_num': 108, 'course_num': 350, 'instructor_name': 'ZIYI LU', 'section_num': '306', 'instructor_id': '0005498615'},,,ZIYI LU',ZIYI LU,0005498615'},0005498615,,108,350,0005498615,ZIYI LU
{'dept_num': 108, 'course_num': 350, 'instructor_name': 'ZIQI QIAO', 'section_num': '307', 'instructor_id': '0005033665'},,,ZIQI QIAO',ZIQI QIAO,0005033665'},0005033665,,108,350,0005033665,ZIQI QIAO
{'dept_num': 108, 'course_num': 350, 'instructor_name': 'GAURAV DOSHI', 'section_num': '308', 'instructor_id': '0005907759'},,,GAURAV DOSHI',GAURAV DOSHI,0005907759'},0005907759,,108,350,0005907759,GAURAV DOSHI
{'dept_num': 108, 'course_num': 350, 'instructor_name': 'ZIQI QIAO', 'section_num': '309', 'instructor_id': '0005033665'},,,ZIQI QIAO',ZIQI QIAO,0005033665'},0005033665,,108,350,0005033665,ZIQI QIAO
{'dept_num': 108, 'course_num': 350, 'instructor_name': 'ZIQI QIAO', 'section_num': '310', 'instructor_id': '0005033665'},,,ZIQI QIAO',ZIQI QIAO,0005033665'},0005033665,,108,350,0005033665,ZIQI QIAO
{'dept_num': 108, 'course_num': 350, 'instructor_name': 'GAURAV DOSHI', 'section_num': '311', 'instructor_id': '0005907759'},,,GAURAV DOSHI',GAURAV DOSHI,0005907759'},0005907759,,108,350,0005907759,GAURAV DOSHI
{'dept_num': 108, 'course_num': 350, 'instructor_name': 'GAURAV DOSHI', 'section_num': '312', 'instructor_id': '0005907759'},,,GAURAV DOSHI',GAURAV DOSHI,0005907759'},0005907759,,108,350,0005907759,GAURAV DOSHI
{'dept_num': 108, 'course_num': 373, 'instructor_name': 'THOMAS RUTHERFORD', 'section_num': '001', 'instructor_id': '0004998825'},,,THOMAS RUTHERFORD',THOMAS RUTHERFORD,0004998825'},0004998825,,108,373,0004998825,THOMAS RUTHERFORD
{'dept_num': 108, 'course_num': 375, 'instructor_name': 'SARAH JOHNSTON', 'section_num': '002', 'instructor_id': '0003889233'},,,SARAH JOHNSTON',SARAH JOHNSTON,0003889233'},0003889233,,108,375,0003889233,SARAH JOHNSTON
{'dept_num': 108, 'course_num': 462, 'instructor_name': 'BRADFORD BARHAM', 'section_num': '001', 'instructor_id': '0002602096'},,,BRADFORD BARHAM',BRADFORD BARHAM,0002602096'},0002602096,,108,462,0002602096,BRADFORD BARHAM
{'dept_num': 108, 'course_num': 474, 'instructor_name': 'PAUL DOWER', 'section_num': '001', 'instructor_id': '0006032571'},,,PAUL DOWER',PAUL DOWER,0006032571'},0006032571,,108,474,0006032571,PAUL DOWER
{'dept_num': 108, 'course_num': 500, 'instructor_name': 'JEREMY FOLTZ', 'section_num': '001', 'instructor_id': '0000125075'},,,JEREMY FOLTZ',JEREMY FOLTZ,0000125075'},0000125075,,108,500,0000125075,JEREMY FOLTZ
{'dept_num': 108, 'course_num': 520, 'instructor_name': 'STEVEN DELLER', 'section_num': '001', 'instructor_id': '0002600972'},,,STEVEN DELLER',STEVEN DELLER,0002600972'},0002600972,,108,520,0002600972,STEVEN DELLER
{'dept_num': 108, 'course_num': 531, 'instructor_name': 'DOMINIC PARKER', 'section_num': '001', 'instructor_id': '0005115186'},,,DOMINIC PARKER',DOMINIC PARKER,0005115186'},0005115186,,108,531,0005115186,DOMINIC PARKER
{'dept_num': 108, 'course_num': 641, 'instructor_name': 'BRENT HUETH', 'section_num': '001', 'instructor_id': '0001016452'},,,BRENT HUETH',BRENT HUETH,0001016452'},0001016452,,108,641,0001016452,BRENT HUETH
{'dept_num': 108, 'course_num': 642, 'instructor_name': 'PAUL DOWER', 'section_num': '001', 'instructor_id': '0006032571'},,,PAUL DOWER',PAUL DOWER,0006032571'},0006032571,,108,642,0006032571,PAUL DOWER
{'dept_num': 108, 'course_num': 643, 'instructor_name': 'ZHIDONG CHEN', 'section_num': '001', 'instructor_id': '0005178528'},,,ZHIDONG CHEN',ZHIDONG CHEN,0005178528'},0005178528,,108,643,0005178528,ZHIDONG CHEN
{'dept_num': 108, 'course_num': 643, 'instructor_name': 'DANIEL PHANEUF', 'section_num': '001', 'instructor_id': '0005000711'},,,DANIEL PHANEUF',DANIEL PHANEUF,0005000711'},0005000711,,108,643,0005000711,DANIEL PHANEUF
{'dept_num': 108, 'course_num': 652, 'instructor_name': 'CRAIG JOHNSTON', 'section_num': '001', 'instructor_id': '0005546638'},,,CRAIG JOHNSTON',CRAIG JOHNSTON,0005546638'},0005546638,,108,652,0005546638,CRAIG JOHNSTON
{'dept_num': 108, 'course_num': 652, 'instructor_name': 'CRAIG JOHNSTON', 'section_num': '301', 'instructor_id': '0005546638'},,,CRAIG JOHNSTON',CRAIG JOHNSTON,0005546638'},0005546638,,108,652,0005546638,CRAIG JOHNSTON
{'dept_num': 108, 'course_num': 671, 'instructor_name': 'XIAODONG DU', 'section_num': '001', 'instructor_id': '0003112273'},,,XIAODONG DU',XIAODONG DU,0003112273'},0003112273,,108,671,0003112273,XIAODONG DU
{'dept_num': 108, 'course_num': 699, 'instructor_name': 'TESSA CONROY', 'section_num': '055', 'instructor_id': '0005851160'},,,TESSA CONROY',TESSA CONROY,0005851160'},0005851160,,108,699,0005851160,TESSA CONROY
{'dept_num': 108, 'course_num': 699, 'instructor_name': 'JEREMY FOLTZ', 'section_num': '082', 'instructor_id': '0000125075'},,,JEREMY FOLTZ',JEREMY FOLTZ,0000125075'},0000125075,,108,699,0000125075,JEREMY FOLTZ
{'dept_num': 108, 'course_num': 699, 'instructor_name': 'XIAODONG DU', 'section_num': '097', 'instructor_id': '0003112273'},,,XIAODONG DU',XIAODONG DU,0003112273'},0003112273,,108,699,0003112273,XIAODONG DU
{'dept_num': 108, 'course_num': 706, 'instructor_name': 'YUJI SAIKAI', 'section_num': '001', 'instructor_id': '0005526542'},,,YUJI SAIKAI',YUJI SAIKAI,0005526542'},0005526542,,108,706,0005526542,YUJI SAIKAI
{'dept_num': 108, 'course_num': 706, 'instructor_name': 'JEAN-PAUL CHAVAS', 'section_num': '001', 'instructor_id': '0002601756'},,,JEAN-PAUL CHAVAS',JEAN-PAUL CHAVAS,0002601756'},0002601756,,108,706,0002601756,JEAN-PAUL CHAVAS
{'dept_num': 108, 'course_num': 720, 'instructor_name': 'CORNELIA ILIN', 'section_num': '001', 'instructor_id': '0005012097'},,,CORNELIA ILIN',CORNELIA ILIN,0005012097'},0005012097,,108,720,0005012097,CORNELIA ILIN
{'dept_num': 108, 'course_num': 730, 'instructor_name': 'LAURA SCHECHTER', 'section_num': '001', 'instructor_id': '0001014925'},,,LAURA SCHECHTER',LAURA SCHECHTER,0001014925'},0001014925,,108,730,0001014925,LAURA SCHECHTER
{'dept_num': 108, 'course_num': 760, 'instructor_name': 'DOMINIC PARKER', 'section_num': '001', 'instructor_id': '0005115186'},,,DOMINIC PARKER',DOMINIC PARKER,0005115186'},0005115186,,108,760,0005115186,DOMINIC PARKER
{'dept_num': 108, 'course_num': 772, 'instructor_name': 'ROBERT PROVENCHER', 'section_num': '001', 'instructor_id': '0002600381'},,,ROBERT PROVENCHER',ROBERT PROVENCHER,0002600381'},0002600381,,108,772,0002600381,ROBERT PROVENCHER
{'dept_num': 108, 'course_num': 772, 'instructor_name': 'PUKITTA CHUNSUTTIWAT', 'section_num': '301', 'instructor_id': '0005704417'},,,PUKITTA CHUNSUTTIWAT',PUKITTA CHUNSUTTIWAT,0005704417'},0005704417,,108,772,0005704417,PUKITTA CHUNSUTTIWAT
{'dept_num': 108, 'course_num': 772, 'instructor_name': 'PUKITTA CHUNSUTTIWAT', 'section_num': '301', 'instructor_id': '0005704417'},,,PUKITTA CHUNSUTTIWAT',PUKITTA CHUNSUTTIWAT,0005704417'},0005704417,,108,772,0005704417,PUKITTA CHUNSUTTIWAT
{'dept_num': 108, 'course_num': 773, 'instructor_name': 'JUSTIN MARGOLIES', 'section_num': '001', 'instructor_id': '0004273450'},,,JUSTIN MARGOLIES',JUSTIN MARGOLIES,0004273450'},0004273450,,108,773,0004273450,JUSTIN MARGOLIES
{'dept_num': 108, 'course_num': 774, 'instructor_name': 'ROBERT PROVENCHER', 'section_num': '001', 'instructor_id': '0002600381'},,,ROBERT PROVENCHER',ROBERT PROVENCHER,0002600381'},0002600381,,108,774,0002600381,ROBERT PROVENCHER
{'dept_num': 108, 'course_num': 776, 'instructor_name': 'ROBERT PROVENCHER', 'section_num': '001', 'instructor_id': '0002600381'},,,ROBERT PROVENCHER',ROBERT PROVENCHER,0002600381'},0002600381,,108,776,0002600381,ROBERT PROVENCHER
{'dept_num': 108, 'course_num': 780, 'instructor_name': 'LAURA SCHECHTER', 'section_num': '001', 'instructor_id': '0001014925'},,,LAURA SCHECHTER',LAURA SCHECHTER,0001014925'},0001014925,,108,780,0001014925,LAURA SCHECHTER
{'dept_num': 108, 'course_num': 835, 'instructor_name': 'SCOTT GEHLBACH', 'section_num': '001', 'instructor_id': '0000321659'},,,SCOTT GEHLBACH',SCOTT GEHLBACH,0000321659'},0000321659,,108,835,0000321659,SCOTT GEHLBACH
{'dept_num': 108, 'course_num': 835, 'instructor_name': 'MICAH DILLARD', 'section_num': '302', 'instructor_id': '0004655514'},,,MICAH DILLARD',MICAH DILLARD,0004655514'},0004655514,,108,835,0004655514,MICAH DILLARD
{'dept_num': 108, 'course_num': 990, 'instructor_name': 'IAN COXHEAD', 'section_num': '073', 'instructor_id': '0002601457'},,,IAN COXHEAD',IAN COXHEAD,0002601457'},0002601457,,108,990,0002601457,IAN COXHEAD
{'dept_num': 108, 'course_num': 990, 'instructor_name': 'STEVEN DELLER', 'section_num': '079', 'instructor_id': '0002600972'},,,STEVEN DELLER',STEVEN DELLER,0002600972'},0002600972,,108,990,0002600972,STEVEN DELLER
{'dept_num': 108, 'course_num': 990, 'instructor_name': 'BRADFORD BARHAM', 'section_num': '080', 'instructor_id': '0002602096'},,,BRADFORD BARHAM',BRADFORD BARHAM,0002602096'},0002602096,,108,990,0002602096,BRADFORD BARHAM
{'dept_num': 108, 'course_num': 990, 'instructor_name': 'JEREMY FOLTZ', 'section_num': '082', 'instructor_id': '0000125075'},,,JEREMY FOLTZ',JEREMY FOLTZ,0000125075'},0000125075,,108,990,0000125075,JEREMY FOLTZ
{'dept_num': 108, 'course_num': 990, 'instructor_name': 'BRIAN GOULD', 'section_num': '085', 'instructor_id': '0003088634'},,,BRIAN GOULD',BRIAN GOULD,0003088634'},0003088634,,108,990,0003088634,BRIAN GOULD
{'dept_num': 108, 'course_num': 990, 'instructor_name': 'PAUL MITCHELL', 'section_num': '086', 'instructor_id': '0000933523'},,,PAUL MITCHELL',PAUL MITCHELL,0000933523'},0000933523,,108,990,0000933523,PAUL MITCHELL
{'dept_num': 108, 'course_num': 990, 'instructor_name': 'LAURA SCHECHTER', 'section_num': '088', 'instructor_id': '0001014925'},,,LAURA SCHECHTER',LAURA SCHECHTER,0001014925'},0001014925,,108,990,0001014925,LAURA SCHECHTER
{'dept_num': 108, 'course_num': 990, 'instructor_name': 'SHI GUANMING', 'section_num': '089', 'instructor_id': '0001459007'},,,SHI GUANMING',SHI GUANMING,0001459007'},0001459007,,108,990,0001459007,SHI GUANMING
{'dept_num': 108, 'course_num': 990, 'instructor_name': 'BRENT HUETH', 'section_num': '090', 'instructor_id': '0001016452'},,,BRENT HUETH',BRENT HUETH,0001016452'},0001016452,,108,990,0001016452,BRENT HUETH
{'dept_num': 108, 'course_num': 990, 'instructor_name': 'JENNIFER ALIX-GARCIA', 'section_num': '092', 'instructor_id': '0003104343'},,,JENNIFER ALIX-GARCIA',JENNIFER ALIX-GARCIA,0003104343'},0003104343,,108,990,0003104343,JENNIFER ALIX-GARCIA
{'dept_num': 108, 'course_num': 990, 'instructor_name': 'CORBETT GRAINGER', 'section_num': '093', 'instructor_id': '0004843336'},,,CORBETT GRAINGER',CORBETT GRAINGER,0004843336'},0004843336,,108,990,0004843336,CORBETT GRAINGER
{'dept_num': 108, 'course_num': 990, 'instructor_name': 'DANIEL PHANEUF', 'section_num': '095', 'instructor_id': '0005000711'},,,DANIEL PHANEUF',DANIEL PHANEUF,0005000711'},0005000711,,108,990,0005000711,DANIEL PHANEUF
{'dept_num': 108, 'course_num': 990, 'instructor_name': 'THOMAS RUTHERFORD', 'section_num': '096', 'instructor_id': '0004998825'},,,THOMAS RUTHERFORD',THOMAS RUTHERFORD,0004998825'},0004998825,,108,990,0004998825,THOMAS RUTHERFORD
{'dept_num': 108, 'course_num': 990, 'instructor_name': 'XIAODONG DU', 'section_num': '097', 'instructor_id': '0003112273'},,,XIAODONG DU',XIAODONG DU,0003112273'},0003112273,,108,990,0003112273,XIAODONG DU
{'dept_num': 108, 'course_num': 990, 'instructor_name': 'DOMINIC PARKER', 'section_num': '098', 'instructor_id': '0005115186'},,,DOMINIC PARKER',DOMINIC PARKER,0005115186'},0005115186,,108,990,0005115186,DOMINIC PARKER
{'dept_num': 108, 'course_num': 990, 'instructor_name': 'PAUL DOWER', 'section_num': '103', 'instructor_id': '0006032571'},,,PAUL DOWER',PAUL DOWER,0006032571'},0006032571,,108,990,0006032571,PAUL DOWER
{'dept_num': 108, 'course_num': 999, 'instructor_name': 'BRADFORD BARHAM', 'section_num': '080', 'instructor_id': '0002602096'},,,BRADFORD BARHAM',BRADFORD BARHAM,0002602096'},0002602096,,108,999,0002602096,BRADFORD BARHAM
{'dept_num': 108, 'course_num': 999, 'instructor_name': 'XIAODONG DU', 'section_num': '097', 'instructor_id': '0003112273'},,,XIAODONG DU',XIAODONG DU,0003112273'},0003112273,,108,999,0003112273,XIAODONG DU
{'dept_num': 112, 'course_num': 1, 'instructor_name': 'ANITA THOMPSON', 'section_num': '010', 'instructor_id': '0003567094'},,,ANITA THOMPSON',ANITA THOMPSON,0003567094'},0003567094,,112,: 1,0003567094,ANITA THOMPSON
{'dept_num': 112, 'course_num': 1, 'instructor_name': 'KEVIN SHINNERS', 'section_num': '014', 'instructor_id': '0000664097'},,,KEVIN SHINNERS',KEVIN SHINNERS,0000664097'},0000664097,,112,: 1,0000664097,KEVIN SHINNERS
{'dept_num': 112, 'course_num': 1, 'instructor_name': 'ROBERT ANEX', 'section_num': '015', 'instructor_id': '0004847746'},,,ROBERT ANEX',ROBERT ANEX,0004847746'},0004847746,,112,: 1,0004847746,ROBERT ANEX
{'dept_num': 112, 'course_num': 170, 'instructor_name': 'KODY HABECK', 'section_num': '001', 'instructor_id': '0003652875'},,,KODY HABECK',KODY HABECK,0003652875'},0003652875,,112,170,0003652875,KODY HABECK
{'dept_num': 112, 'course_num': 299, 'instructor_name': 'XUEJUN PAN', 'section_num': '015', 'instructor_id': '0004255998'},,,XUEJUN PAN',XUEJUN PAN,0004255998'},0004255998,,112,299,0004255998,XUEJUN PAN
{'dept_num': 112, 'course_num': 308, 'instructor_name': 'JOHN SHUTSKE', 'section_num': '001', 'instructor_id': '0004537031'},,,JOHN SHUTSKE',JOHN SHUTSKE,0004537031'},0004537031,,112,308,0004537031,JOHN SHUTSKE
{'dept_num': 112, 'course_num': 349, 'instructor_name': 'JESSICA DREWRY', 'section_num': '001', 'instructor_id': '0005205344'},,,JESSICA DREWRY',JESSICA DREWRY,0005205344'},0005205344,,112,349,0005205344,JESSICA DREWRY
{'dept_num': 112, 'course_num': 364, 'instructor_name': 'XUEJUN PAN', 'section_num': '001', 'instructor_id': '0004255998'},,,XUEJUN PAN',XUEJUN PAN,0004255998'},0004255998,,112,364,0004255998,XUEJUN PAN
{'dept_num': 112, 'course_num': 365, 'instructor_name': 'ROBERT ANEX', 'section_num': '001', 'instructor_id': '0004847746'},,,ROBERT ANEX',ROBERT ANEX,0004847746'},0004847746,,112,365,0004847746,ROBERT ANEX
{'dept_num': 112, 'course_num': 365, 'instructor_name': 'JEFFREY NELSON', 'section_num': '301', 'instructor_id': '0000925554'},,,JEFFREY NELSON',JEFFREY NELSON,0000925554'},0000925554,,112,365,0000925554,JEFFREY NELSON
{'dept_num': 112, 'course_num': 365, 'instructor_name': 'ROBERT ANEX', 'section_num': '301', 'instructor_id': '0004847746'},,,ROBERT ANEX',ROBERT ANEX,0004847746'},0004847746,,112,365,0004847746,ROBERT ANEX
{'dept_num': 112, 'course_num': 365, 'instructor_name': 'ROBERT ANEX', 'section_num': '303', 'instructor_id': '0004847746'},,,ROBERT ANEX',ROBERT ANEX,0004847746'},0004847746,,112,365,0004847746,ROBERT ANEX
{'dept_num': 112, 'course_num': 365, 'instructor_name': 'JEFFREY NELSON', 'section_num': '303', 'instructor_id': '0000925554'},,,JEFFREY NELSON',JEFFREY NELSON,0000925554'},0000925554,,112,365,0000925554,JEFFREY NELSON
{'dept_num': 112, 'course_num': 365, 'instructor_name': 'ROBERT ANEX', 'section_num': '304', 'instructor_id': '0004847746'},,,ROBERT ANEX',ROBERT ANEX,0004847746'},0004847746,,112,365,0004847746,ROBERT ANEX
{'dept_num': 112, 'course_num': 365, 'instructor_name': 'JEFFREY NELSON', 'section_num': '304', 'instructor_id': '0000925554'},,,JEFFREY NELSON',JEFFREY NELSON,0000925554'},0000925554,,112,365,0000925554,JEFFREY NELSON
{'dept_num': 112, 'course_num': 367, 'instructor_name': 'TROY RUNGE', 'section_num': '001', 'instructor_id': '0004616626'},,,TROY RUNGE',TROY RUNGE,0004616626'},0004616626,,112,367,0004616626,TROY RUNGE
{'dept_num': 112, 'course_num': 367, 'instructor_name': 'TROY RUNGE', 'section_num': '003', 'instructor_id': '0004616626'},,,TROY RUNGE',TROY RUNGE,0004616626'},0004616626,,112,367,0004616626,TROY RUNGE
{'dept_num': 112, 'course_num': 464, 'instructor_name': 'CHRISTOPHER CHOI', 'section_num': '001', 'instructor_id': '0005123692'},,,CHRISTOPHER CHOI',CHRISTOPHER CHOI,0005123692'},0005123692,,112,464,0005123692,CHRISTOPHER CHOI
{'dept_num': 112, 'course_num': 472, 'instructor_name': 'KRISHNAPURAM KARTHIKEYAN', 'section_num': '001', 'instructor_id': '0003213425'},,,KRISHNAPURAM KARTHIKEYAN',KRISHNAPURAM KARTHIKEYAN,0003213425'},0003213425,,112,472,0003213425,KRISHNAPURAM KARTHIKEYAN
{'dept_num': 112, 'course_num': 476, 'instructor_name': 'KEVIN SHINNERS', 'section_num': '001', 'instructor_id': '0000664097'},,,KEVIN SHINNERS',KEVIN SHINNERS,0000664097'},0000664097,,112,476,0000664097,KEVIN SHINNERS
{'dept_num': 112, 'course_num': 476, 'instructor_name': 'KEVIN SHINNERS', 'section_num': '301', 'instructor_id': '0000664097'},,,KEVIN SHINNERS',KEVIN SHINNERS,0000664097'},0000664097,,112,476,0000664097,KEVIN SHINNERS
{'dept_num': 112, 'course_num': 476, 'instructor_name': 'KEVIN SHINNERS', 'section_num': '302', 'instructor_id': '0000664097'},,,KEVIN SHINNERS',KEVIN SHINNERS,0000664097'},0000664097,,112,476,0000664097,KEVIN SHINNERS
{'dept_num': 112, 'course_num': 508, 'instructor_name': 'JOHN SHUTSKE', 'section_num': '002', 'instructor_id': '0004537031'},,,JOHN SHUTSKE',JOHN SHUTSKE,0004537031'},0004537031,,112,508,0004537031,JOHN SHUTSKE
{'dept_num': 112, 'course_num': 571, 'instructor_name': 'ANITA THOMPSON', 'section_num': '001', 'instructor_id': '0003567094'},,,ANITA THOMPSON',ANITA THOMPSON,0003567094'},0003567094,,112,571,0003567094,ANITA THOMPSON
