{'#8': [33.3, 17.2, 34.4, 4.3, 7.5, 2.2, None, 1.1, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Intro to Agr & Applied Econ', '#7': 3.283, '#6': 93, '#5': '001', '#4': '215'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Community Economic Analysis', '#7': None, '#6': 4, '#5': '001', '#4': '520'}
{'#8': [46.7, 20.0, 33.3, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Natural Resource Economics', '#7': 3.567, '#6': 15, '#5': '001', '#4': '531'}
{'#8': [15.4, 7.7, None, None, None, None, None, None, None, None, None, None, 76.9, None, None], '#3': 108, '#2': 'ALS', '#1': 'Applied Econometric Anal II', '#7': 3.833, '#6': 13, '#5': '001', '#4': '637'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Fndtns Agricultural Economics', '#7': None, '#6': 5, '#5': '001', '#4': '641'}
{'#8': [25.0, 54.2, 20.8, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Fndtns Environ/Resource Econ', '#7': 3.521, '#6': 24, '#5': '001', '#4': '643'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Decisn Meth-Nat Resrc Mangr', '#7': None, '#6': 1, '#5': '001', '#4': '652'}
{'#8': [60.0, 26.7, 6.7, None, 6.7, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Energy Economics', '#7': 3.667, '#6': 15, '#5': '001', '#4': '671'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Energy Economics', '#7': None, '#6': 2, '#5': '073', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Energy Economics', '#7': None, '#6': 1, '#5': '080', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Energy Economics', '#7': None, '#6': 4, '#5': '097', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Development Economics 1', '#7': None, '#6': 5, '#5': '001', '#4': '730'}
{'#8': [72.2, 27.8, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Econometrics Res/Energy Demand', '#7': 3.861, '#6': 18, '#5': '001', '#4': '772'}
{'#8': [44.4, 44.4, 5.6, 5.6, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Sem Res/Energy Demand Analysis', '#7': 3.639, '#6': 18, '#5': '001', '#4': '773'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Practicum Res/Energy Demand I', '#7': 4.0, '#6': 18, '#5': '001', '#4': '774'}
{'#8': [88.9, 11.1, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Research Colloquium', '#7': 3.944, '#6': 9, '#5': '001', '#4': '780'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Game Theory&Political Analysis', '#7': None, '#6': 1, '#5': '001', '#4': '835'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Special Topics', '#7': 4.0, '#6': 15, '#5': '001', '#4': '875'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Special Topics', '#7': None, '#6': 3, '#5': '073', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Special Topics', '#7': None, '#6': 2, '#5': '079', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, 100.0, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Special Topics', '#7': None, '#6': 7, '#5': '080', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Special Topics', '#7': None, '#6': 2, '#5': '082', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Special Topics', '#7': None, '#6': 1, '#5': '083', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Special Topics', '#7': None, '#6': 1, '#5': '085', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Special Topics', '#7': None, '#6': 3, '#5': '088', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Special Topics', '#7': None, '#6': 2, '#5': '089', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Special Topics', '#7': None, '#6': 2, '#5': '092', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'AGRICULTURAL AND APPLIED E', '#7': None, '#6': 5, '#5': '093', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'AGRICULTURAL AND APPLIED E', '#7': None, '#6': 4, '#5': '095', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'AGRICULTURAL AND APPLIED E', '#7': None, '#6': 4, '#5': '096', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'AGRICULTURAL AND APPLIED E', '#7': None, '#6': 1, '#5': '098', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Research and Thesis', '#7': None, '#6': 1, '#5': '001', '#4': '999'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Research and Thesis', '#7': None, '#6': 2, '#5': '073', '#4': '999'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Research and Thesis', '#7': None, '#6': 2, '#5': '088', '#4': '999'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Research and Thesis', '#7': None, '#6': 1, '#5': '098', '#4': '999'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'BIOLOGICAL SYSTEMS ENGINE', '#7': None, '#6': 1, '#5': '010', '#4': '1'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'BIOLOGICAL SYSTEMS ENGINE', '#7': None, '#6': 1, '#5': '012', '#4': '1'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'BIOLOGICAL SYSTEMS ENGINE', '#7': None, '#6': 1, '#5': '014', '#4': '1'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'BIOLOGICAL SYSTEMS ENGINE', '#7': None, '#6': 1, '#5': '035', '#4': '1'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Cooperative Educ Program', '#7': None, '#6': 1, '#5': '025', '#4': '299'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Cooperative Educ Program', '#7': None, '#6': 1, '#5': '033', '#4': '299'}
{'#8': [2.0, 12.2, 38.8, 18.4, 24.5, 2.0, 2.0, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Quant Technqs-Biological Systm', '#7': 2.643, '#6': 49, '#5': '001', '#4': '349'}
{'#8': [48.3, 24.1, 13.8, 6.9, 3.4, None, None, 3.4, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Sustainabl Residntl Constructn', '#7': 3.554, '#6': 29, '#5': '001', '#4': '356'}
{'#8': [14.3, 45.2, 16.7, 11.9, 7.1, 4.8, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Measrmt&Instrumntn-Biol Sys', '#7': 3.143, '#6': 42, '#5': '001', '#4': '365'}
{'#8': [11.4, 57.0, 22.8, 6.3, 1.3, None, None, None, None, None, None, None, None, None, 1.3], '#3': 112, '#2': 'ALS', '#1': 'Measrmt&Instrumntn-Biol Sys', '#7': 3.359, '#6': 79, '#5': '001', '#4': '367'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Measrmt&Instrumntn-Biol Sys', '#7': None, '#6': 4, '#5': '003', '#4': '367'}
{'#8': [None, 20.0, 20.0, 13.3, 33.3, 13.3, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Rheology of Foods&Biomaterials', '#7': 2.433, '#6': 15, '#5': '001', '#4': '441'}
{'#8': [26.1, 21.7, 30.4, 8.7, 8.7, 4.3, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Food&Bioprocessing Operations', '#7': 3.152, '#6': 23, '#5': '001', '#4': '461'}
{'#8': [30.8, 7.7, 23.1, 15.4, 7.7, 15.4, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Heat and Mass Transfer', '#7': 2.885, '#6': 13, '#5': '001', '#4': '464'}
{'#8': [10.0, 30.0, 30.0, 30.0, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Sedmnt & Bio-Nutr Engr&Mgmt', '#7': 3.1, '#6': 20, '#5': '001', '#4': '472'}
{'#8': [9.1, 4.5, 45.5, 13.6, 22.7, 4.5, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Engr Princpl Off-Road Vehicles', '#7': 2.727, '#6': 22, '#5': '001', '#4': '476'}
{'#8': [47.7, 15.9, 15.9, 11.4, 4.5, 4.5, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Biol Sys Engr Dsgn Practicum I', '#7': 3.364, '#6': 44, '#5': '001', '#4': '508'}
{'#8': [25.0, 25.0, 25.0, 6.3, 12.5, 6.3, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Small Watershed Engineering', '#7': 3.094, '#6': 16, '#5': '001', '#4': '571'}
{'#8': [70.6, None, 17.6, 5.9, 5.9, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Food & Phmaceut Separations', '#7': 3.618, '#6': 17, '#5': '001', '#4': '642'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Food & Phmaceut Separations', '#7': None, '#6': 1, '#5': '009', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Food & Phmaceut Separations', '#7': None, '#6': 3, '#5': '010', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Practicum-Ag Engr Teaching', '#7': None, '#6': 1, '#5': '039', '#4': '799'}
{'#8': [54.5, 18.2, 27.3, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Graduate Research Seminar', '#7': 3.636, '#6': 11, '#5': '001', '#4': '901'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Graduate Research Seminar', '#7': None, '#6': 1, '#5': '003', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Graduate Research Seminar', '#7': None, '#6': 1, '#5': '009', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Graduate Research Seminar', '#7': None, '#6': 1, '#5': '010', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Graduate Research Seminar', '#7': None, '#6': 3, '#5': '014', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, 100.0, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Graduate Research Seminar', '#7': None, '#6': 6, '#5': '018', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Graduate Research Seminar', '#7': None, '#6': 1, '#5': '021', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Graduate Research Seminar', '#7': None, '#6': 1, '#5': '025', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Graduate Research Seminar', '#7': None, '#6': 4, '#5': '030', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Graduate Research Seminar', '#7': None, '#6': 1, '#5': '031', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Graduate Research Seminar', '#7': None, '#6': 1, '#5': '033', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Graduate Research Seminar', '#7': None, '#6': 4, '#5': '035', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Graduate Research Seminar', '#7': None, '#6': 4, '#5': '036', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Graduate Research Seminar', '#7': None, '#6': 2, '#5': '038', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Graduate Research Seminar', '#7': None, '#6': 2, '#5': '039', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 112, '#2': 'ALS', '#1': 'Special Problems', '#7': None, '#6': 1, '#5': '020', '#4': '999'}
{'#8': [40.0, 40.0, 6.7, None, 6.7, 6.7, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'LIFE SCIENCES COMMUNICATIO', '#7': 3.4, '#6': 15, '#5': '001', '#4': '100'}
{'#8': [66.7, 26.7, 6.7, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'LIFE SCIENCES COMMUNICATIO', '#7': 3.8, '#6': 15, '#5': '003', '#4': '100'}
{'#8': [50.0, 28.6, 21.4, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'LIFE SCIENCES COMMUNICATIO', '#7': 3.643, '#6': 14, '#5': '004', '#4': '100'}
{'#8': [46.7, 40.0, 6.7, 6.7, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'LIFE SCIENCES COMMUNICATIO', '#7': 3.633, '#6': 15, '#5': '005', '#4': '100'}
{'#8': [42.9, 50.0, 7.1, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'LIFE SCIENCES COMMUNICATIO', '#7': 3.679, '#6': 14, '#5': '006', '#4': '100'}
{'#8': [33.3, 46.7, 20.0, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'LIFE SCIENCES COMMUNICATIO', '#7': 3.567, '#6': 15, '#5': '007', '#4': '100'}
{'#8': [69.2, 7.7, 15.4, None, 7.7, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'LIFE SCIENCES COMMUNICATIO', '#7': 3.654, '#6': 13, '#5': '009', '#4': '100'}
{'#8': [38.5, 38.5, 7.7, 7.7, None, None, 7.7, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'LIFE SCIENCES COMMUNICATIO', '#7': 3.308, '#6': 13, '#5': '010', '#4': '100'}
{'#8': [30.0, 10.0, 20.0, None, 30.0, None, None, None, None, None, None, None, None, None, 10.0], '#3': 120, '#2': 'ALS', '#1': 'Sci&Technology Newswriting', '#7': 3.056, '#6': 10, '#5': '001', '#4': '111'}
{'#8': [61.1, 16.7, 22.2, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Sci&Technology Newswriting', '#7': 3.694, '#6': 18, '#5': '001', '#4': '212'}
{'#8': [70.6, 23.5, 5.9, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Sci&Technology Newswriting', '#7': 3.824, '#6': 17, '#5': '002', '#4': '212'}
{'#8': [40.0, 20.0, 25.0, 7.5, 7.5, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Rsrch Mthd: Commun Indstry', '#7': 3.388, '#6': 40, '#5': '001', '#4': '250'}
{'#8': [27.4, 26.5, 29.9, 8.5, 2.6, 2.6, 1.7, None, None, None, None, None, 0.9, None, None], '#3': 120, '#2': 'ALS', '#1': 'Science, Media and Society', '#7': 3.237, '#6': 117, '#5': '001', '#4': '251'}
{'#8': [72.7, 20.5, 6.8, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Comm in Life Sci Industries', '#7': 3.83, '#6': 44, '#5': '001', '#4': '270'}
{'#8': [68.4, 21.1, 10.5, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Comm in Life Sci Industries', '#7': 3.789, '#6': 19, '#5': '001', '#4': '332'}
{'#8': [63.2, 21.1, 5.3, None, 10.5, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Comm in Life Sci Industries', '#7': 3.632, '#6': 19, '#5': '002', '#4': '332'}
{'#8': [47.4, 47.4, None, 5.3, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Information Radio', '#7': 3.684, '#6': 19, '#5': '001', '#4': '360'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Information Radio', '#7': None, '#6': 4, '#5': '001', '#4': '399'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Information Radio', '#7': None, '#6': 3, '#5': '003', '#4': '399'}
{'#8': [50.0, 17.3, 19.2, 7.7, 5.8, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Social Media for Life Sciences', '#7': 3.49, '#6': 52, '#5': '001', '#4': '432'}
{'#8': [39.3, 32.1, 3.6, 14.3, 10.7, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Native Amer Envir Iss & Media', '#7': 3.375, '#6': 28, '#5': '001', '#4': '444'}
{'#8': [50.0, 20.8, 16.7, 8.3, None, None, None, None, None, None, None, None, None, None, 4.2], '#3': 120, '#2': 'ALS', '#1': 'Photography for the Sciences', '#7': 3.587, '#6': 24, '#5': '001', '#4': '450'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Ag Marketing NAMA', '#7': 4.0, '#6': 30, '#5': '001', '#4': '477'}
{'#8': [66.0, 22.0, 12.0, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Pub Info Campaigns & Progms', '#7': 3.77, '#6': 50, '#5': '002', '#4': '515'}
{'#8': [58.8, 29.4, 5.9, None, None, None, None, None, None, None, None, None, None, 5.9, None], '#3': 120, '#2': 'ALS', '#1': 'Scientific Writing', '#7': 3.781, '#6': 17, '#5': '001', '#4': '560'}
{'#8': [70.0, None, 30.0, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Advanced Video Production', '#7': 3.7, '#6': 10, '#5': '001', '#4': '614'}
{'#8': [39.1, 43.5, 8.7, 8.7, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Case Studies-Com of Sci & Tech', '#7': 3.565, '#6': 23, '#5': '001', '#4': '640'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Special Problems', '#7': None, '#6': 1, '#5': '007', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, 0.1, 0.0, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Colloq in Life Sci Communicatn', '#7': None, '#6': 21, '#5': '001', '#4': '700'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Concep&Design-Mass Com Rsch', '#7': None, '#6': 1, '#5': '001', '#4': '806'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Concep&Design-Mass Com Rsch', '#7': None, '#6': 1, '#5': '001', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Concep&Design-Mass Com Rsch', '#7': None, '#6': 2, '#5': '002', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Concep&Design-Mass Com Rsch', '#7': None, '#6': 2, '#5': '005', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Concep&Design-Mass Com Rsch', '#7': None, '#6': 2, '#5': '006', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Research', '#7': None, '#6': 2, '#5': '002', '#4': '999'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 120, '#2': 'ALS', '#1': 'Research', '#7': None, '#6': 1, '#5': '004', '#4': '999'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 130, '#2': 'ALS', '#1': 'Multifunctionality-Agriculture', '#7': 4.0, '#6': 12, '#5': '001', '#4': '702'}
{'#8': [None, None, None, None, None, None, None, None, 0.1, 0.0, None, None, None, None, None], '#3': 130, '#2': 'ALS', '#1': 'Agroecology Seminar', '#7': None, '#6': 13, '#5': '001', '#4': '710'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 130, '#2': 'ALS', '#1': 'Topics in Agroecology', '#7': None, '#6': 5, '#5': '001', '#4': '875'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 130, '#2': 'ALS', '#1': 'Topics in Agroecology', '#7': None, '#6': 1, '#5': '002', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 130, '#2': 'ALS', '#1': 'Topics in Agroecology', '#7': None, '#6': 1, '#5': '005', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 130, '#2': 'ALS', '#1': 'Topics in Agroecology', '#7': None, '#6': 1, '#5': '006', '#4': '990'}
