100 012 15	3.967	93.3 6.7 ....	.		.	.	.	.	.		.	.	..
100 013 15	3.923	80.0 .6.7 ...	.		13.3	.	.	.	.		.	.	..
100 014 15	3.714	53.3 26.7 13.3 ...	.		6.7	.	.	.	.		.	.	..
100 015 16	3.625	62.5 25.0 ..12.5 .	.		.	.	.	.	.		.	.	..
100 016 16	3.833	62.5 31.3 ....	.		6.3	.	.	.	.		.	.	..
Science and Storytelling Course Total 235	3.793	67.2 17.0 4.7 1.7 1.7 .	.		6.4	1.3	.	.		.		.  .	.  .
Sci&Technology Newswriting 111 001 15	3.269	40.0 6.7 26.7 .6.7 6.7	.		6.7	6.7	.	.	.		.	.	..
212 001 18	3.778	55.6 44.4 ....	.		.	.	.	.	.		.	.	..
212 002 20	3.395	45.0 20.0 10.0 15.0 .5.0	.		.	.	.	.	.		.	.	.5.0
Intro-Scientific Communication Course Total 38	3.581	50.0 31.6 5.3 7.9 .  2.6	.		.	.	.	.		.		.  .	.  2.6
250 001 38	3.297	31.6 15.8 18.4 7.9 10.5 .	.		15.8	.	.	.	.		.	.	..
250 002 57	3.210	19.3 24.6 28.1 5.3 10.5 .	.		10.5	.	.	.	.		.	.	.1.8
Rsrch Mthd: Commun Indstry Course Total 95	3.244	24.2 21.1 24.2 6.3 10.5 .	.		12.6	.	.	.		.		.  .	.  1.1
Science, Media and Society 251 001 120	3.393	40.0 21.7 11.7 2.5 5.0 4.2	0.8		9.2	2.5	.	.	.		.	.	2.5 .
Comm in Life Sci Industries 270 001 25	3.848	76.0 12.0 ..4.0 .	.		4.0	4.0	.	.	.		.	.	..
Intro to Digital Video Prod 314 001 18	3.300	33.3 11.1 27.8 5.6 .5.6	.		.	11.1	.	.	.		.	.	.5.6
Print&Electronic Media Dsgn 332 001 27	3.827	74.1 14.8 3.7 3.7 ..	.		.	3.7	.	.	.		.	.	..
Information Radio 360 001 14	3.857	71.4 28.6 ....	.		.	.	.	.	.		.	.	..
Coord Intrnshp/Cooprtv Educ 399 003 1	***						.	.	.		.	.	..
Integrated Marktng Communicatn 435 001 7	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Photography for the Sciences 450 001 23	3.136	47.8 21.7 4.3 4.3 .8.7	8.7		4.3	.	.	.	.		.	.	..
Ag Marketing NAMA 477 001 13	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Social Marketing of Sciences 515 001 29	3.655	75.9 3.4 13.8 3.4 ..	3.4		.	.	.	.	.		.	.	..
Web Design for the Sciences 532 001 18	3.719	61.1 16.7 5.6 .5.6 .	.		5.6	5.6	.	.	.		.	.	..
Scientific Writing 560 001 19	3.842	68.4 31.6 ....	.		.	.	.	.	.		.	.	..
Advanced Video Production 614 001 6	3.750	50.0 50.0 ....	.		.	.	.	.	.		.	.	..
Case Studies-Com of Sci & Tech 640 001 21	3.762	71.4 14.3 9.5 4.8 ..	.		.	.	.	.	.		.	.	..
699 002 2	***						.	.	.		.	.	..
699 003 1	***						.	.	.		.	.	..
699 007 1	***						.	.	.		.	.	..
August 24, 2020													Page 5 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204		Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020		University of Wisconsin - Madison										
""		(Non-Cross Listed)										
ALS												
LIFE SCIENCES COMMUNICATIO Section #	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P		I	NW	NR Other
120 LSC Grades	GPA											
699 008 1	***					.	.	.		.	.	..
699 009 1	***					.	.	.		.	.	..
Special Problems Course Total 6	3.000	83.3 .  .  .  .  .	16.7	.	.	.	.	.			.  .	.  .
Colloq in Life Sci Communicatn 700 001 24		......	.	.	.	100.0	.	.		.	.	..
Technology and Society 833 001 1	***					.	.	.		.	.	..
Special Topics 875 001 14	4.000	100.0 .....	.	.	.	.	.	.		.	.	..
880 047 2	***					.	.	.		.	.	..
880 048 1	***					.	.	.		.	.	..
Topics in Mass Communication Course Total 3	***											
990 002 2	***					.	.	.		.	.	..
990 004 1	***					.	.	.		.	.	..
990 005 3	***					.	.	.		.	.	..
990 008 1	***					.	.	.		.	.	..
Research Course Total 7		.  .  .  .  .  .	.	100.0	.	.	.	.			.  .	.  .
999 003 1	***					.	.	.		.	.	..
999 006 1	***					.	.	.		.	.	..
Independent Research Course Total 2	***											
120 LSC Dept. Total 781	3.616	54.8 17.0 8.7 2.7 2.9 1.3	0.6	6.4	1.5	3.1	.	.		0.1	.	0.4 0.4
Summary by Level #	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P		I	NW	NR Other
GPA120 LSCGrades												
Freshmen 82	3.797	63.4 19.5 6.1 .  1.2 .	.	8.5	1.2	.	.	.			.  .	.  .
Sophomore 201	3.653	57.2 21.4 8.5 3.0 3.0 1.0	.	4.5	1.5	.	.	.			.  .	.  .
Junior 153	3.542	52.3 14.4 13.1 4.6 2.6 2.0	0.7	7.8	2.6	.	.	.			.  .	.  .
Senior 264	3.528	53.8 18.6 9.5 2.7 4.2 1.9	1.5	5.3	1.5	.	.	.			.  .	.  1.1
Undergraduates 700	3.600	55.6 18.6 9.6 2.9 3.1 1.4	0.7	6.0	1.7	.	.	.			.  .	.  0.4
Special 9	3.000	11.1 11.1 11.1 11.1 11.1 .	.	11.1	.	.	.	.			.  .	33.3 .
Graduate 72	3.974	52.8 2.8 .  .  .  .	.	9.7	.	33.3	.	.		1.4	.	.  .
Dept. Total 781	3.616	54.8 17.0 8.7 2.7 2.9 1.3	0.6	6.4	1.5	3.1	.	.		0.1	.	0.4 0.4
August 24, 2020												Page 6 of 447
* Please note: This report does not combine crosslisted courses												
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.												
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"												
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
ALS													
AGROECOLOGY Section #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
130 AGROECOL Grades		GPA											
Special Problems 699 002 1		***						.	.	.	.	.	..
Multifunctionality-Agriculture 702 001 14		4.000	100.0 .....	.		.	.	.	.	.	.	.	..
990 001 4		***						.	.	.	.	.	..
990 003 1		***						.	.	.	.	.	..
990 006 1		***						.	.	.	.	.	..
990 008 1		***						.	.	.	.	.	..
990 009 1		***						.	.	.	.	.	..
990 010 1		***						.	.	.	.	.	..
990 020 1		***						.	.	.	.	.	..
990 021 1		***						.	.	.	.	.	..
Research Course Total 11			.  .  .  .  .  .		.	63.6	.	.	.	36.4		.  .	.  .
130 AGROECOL Dept. Total 26		4.000	57.7 .  .  .  .  .		.	26.9	.	.	.	15.4		.  .	.  .
Summary by Level #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA130 AGROECOLGrades													
Senior 1		***						.	.	.		.  .	.  .
Undergraduates 1		***						.	.	.		.  .	.  .
Graduate 25		4.000	56.0 .  .  .  .  .		.	28.0	.	.	.	16.0		.  .	.  .
Dept. Total 26		4.000	57.7 .  .  .  .  .		.	26.9	.	.	.	15.4		.  .	.  .
August 24, 2020													Page 7 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
ALS													
AGRONOMY Section	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P		I	NW	NR Other
132 AGRONOMY Grades		GPA											
Introduction to Global Health 203 001	9	4.000	100.0 .....	.	.	.	.	.	.		.	.	..
299 007	1	***					.	.	.		.	.	..
299 010	2	***					.	.	.		.	.	..
299 014	1	***					.	.	.		.	.	..
Independent Study Course Total	4	***											
Cropping Systems 300 001	14	3.750	50.0 7.1 14.3 ...	.	28.6	.	.	.	.		.	.	..
Plant Nutrition Management 326 001	5	***					.	.	.		.	.	..
Plant Breeding&Biotechnolgy 338 001	17	3.533	64.7 .17.6 ...	5.9	11.8	.	.	.	.		.	.	..
World Hunger & Malnutrition 350 001	37	3.597	43.2 37.8 8.1 8.1 ..	.	2.7	.	.	.	.		.	.	..
GM Crops:Sci,Reg,Controversy 360 001	11	3.450	36.4 27.3 18.2 .9.1 .	.	9.1	.	.	.	.		.	.	..
375 002	1	***					.	.	.		.	.	..
375 004	9	3.889	88.9 .11.1 ...	.	.	.	.	.	.		.	.	..
Special Topics Course Total	10	3.889	80.0 .  10.0 .  .  .	.	10.0	.	.	.	.			.  .	.  .
Cropping Systems-Tropics 377 001	18	3.971	88.9 5.6 ....	.	5.6	.	.	.	.		.	.	..
Coord Intrnshp/Cooprtv Educ 399 007	1	***					.	.	.		.	.	..
Food Production & Sustainblty 471 001	11	3.700	63.6 .27.3 ...	.	9.1	.	.	.	.		.	.	..
Senior Capstone Experience 500 001	20	3.711	55.0 25.0 15.0 ...	.	5.0	.	.	.	.		.	.	..
699 004	2	***					.	.	.		.	.	..
699 007	1	***					.	.	.		.	.	..
699 008	2	***					.	.	.		.	.	..
Special Problems Course Total	5	***											
Select Thry-Quant Traits 812 001	6	3.800	50.0 33.3 ....	.	16.7	.	.	.	.		.	.	..
Seminar 920 001	7	4.000	100.0 .....	.	.	.	.	.	.		.	.	..
Seminar-Plant Breeding 957 001	7	4.000	100.0 .....	.	.	.	.	.	.		.	.	..
990 002	1	***					.	.	.		.	.	..
990 005	2	***					.	.	.		.	.	..
990 007	3	***					.	.	.		.	.	..
990 012	3	***					.	.	.		.	.	..
990 013	1	***					.	.	.		.	.	..
990 014	3	***					.	.	.		.	.	..
990 018	1	***					.	.	.		.	.	..
990 020	6		......	.	16.7	.	.	.	83.3		.	.	..
990 022	4	***					.	.	.		.	.	..
990 023	1	***					.	.	.		.	.	..
990 024	4	***					.	.	.		.	.	..
Research Course Total	29		.  .  .  .  .  .	.	48.3	.	.	.	51.7			.  .	.  .
August 24, 2020													Page 8 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades								Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison									
""			(Non-Cross Listed)									
ALS												
AGRONOMY Section	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P	I	NW	NR Other
132 AGRONOMY	Grades	GPA										
132 AGRONOMY Dept. Total	211	3.732	55.9 12.8 8.1 1.4 0.9 .	0.5	13.3	.	.	.	7.1		.  .	.  .
Summary by Level	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA132 AGRONOMY	Grades											
Freshmen	2	***					.	.	.		.  .	.  .
Sophomore	14	3.615	42.9 28.6 21.4 .  .  .	.	7.1	.	.	.	.		.  .	.  .
Junior	34	3.717	58.8 20.6 11.8 .  2.9 .	.	5.9	.	.	.	.		.  .	.  .
Senior	103	3.722	67.0 12.6 9.7 2.9 1.0 .	1.0	5.8	.	.	.	.		.  .	.  .
Undergraduates	153	3.711	62.7 16.3 11.1 2.0 1.3 .	0.7	5.9	.	.	.	.		.  .	.  .
Special	2	***					.	.	.		.  .	.  .
Graduate	56	3.949	39.3 3.6 .  .  .  .	.	30.4	.	.	.	26.8		.  .	.  .
Dept. Total	211	3.732	55.9 12.8 8.1 1.4 0.9 .	0.5	13.3	.	.	.	7.1		.  .	.  .
August 24, 2020												Page 9 of 447
* Please note: This report does not combine crosslisted courses												
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.												
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"												
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
ALS													
MICROBIOLOGY Section	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P		I	NW	NR Other
192 MICROBIO Grades		GPA											
General Microbiology 101 001	283	3.476	38.5 14.5 31.1 1.4 2.1 .	0.4	10.2	1.4	.	.	.		.	.	0.4 .
102 001	30	3.625	53.3 20.0 13.3 3.3 3.3 .	.	6.7	.	.	.	.		.	.	..
102 002	39	3.632	48.7 17.9 17.9 .2.6 .	.	7.7	2.6	.	.	.		.	.	2.6 .
102 003	38	3.559	50.0 10.5 23.7 .5.3 .	.	10.5	.	.	.	.		.	.	..
102 004	19	3.639	57.9 15.8 15.8 .5.3 .	.	5.3	.	.	.	.		.	.	..
General Microbiology Lab Course Total	126	3.610	51.6 15.9 18.3 0.8 4.0 .	.	7.9	0.8	.	.		.		.  .	0.8 .
299 010	4	***					.	.	.		.	.	..
299 013	4	***					.	.	.		.	.	..
299 030	1	***					.	.	.		.	.	..
299 071	1	***					.	.	.		.	.	..
299 091	1	***					.	.	.		.	.	..
299 096	1	***					.	.	.		.	.	..
299 097	2	***					.	.	.		.	.	..
Independent Study Course Total	14	3.909	85.7 14.3 .  .  .  .	.	.	.	.	.		.		.  .	.  .
Biology of Microorganisms 303 001	186	3.430	37.6 21.5 17.2 8.6 2.2 1.1	0.5	10.8	0.5	.	.	.		.	.	..
304 001	39	3.431	35.9 20.5 25.6 7.7 2.6 .	.	7.7	.	.	.	.		.	.	..
304 002	28	3.478	35.7 14.3 28.6 .3.6 .	.	14.3	.	.	.	.		3.6	.	..
304 003	30	3.534	43.3 23.3 26.7 .3.3 .	.	3.3	.	.	.	.		.	.	..
304 004	35	3.517	48.6 11.4 17.1 2.9 2.9 2.9	.	11.4	.	.	.	.		2.9	.	..
Biology of Microorganisms Lab Course Total	132	3.487	40.9 17.4 24.2 3.0 3.0 0.8	.	9.1	.	.	.		.	1.5	.	.  .
305 001	15	4.000	93.3 .....	.	.	.	.	.	.		6.7	.	..
305 002	16	3.967	87.5 6.3 ....	.	6.3	.	.	.	.		.	.	..
305 003	16	3.875	87.5 6.3 .6.3 ..	.	.	.	.	.	.		.	.	..
