TERM : 1202,,Percentage Distribution of Grades,,,,,,,,,,Office of the Registrar
Fall 2019-2020,,University of Wisconsin - Madison,,,,,,,,,,
Engr Principles-Ag Machinery 475 001 24,2.896,8.3 12.5 45.8 16.7 16.7 .,.,,,.,.,.,.,.,.,...
Legal Aspects-Engineering 491 001 2,***,,,,,,,.,.,.,.,...
Biol Sys Eng Dsgn Practicum II 509 001 63,3.390,23.8 11.1 23.8 4.8 1.6 .,.,,,.,.,.,.,.,34.9,...
Biology in Engineering Seminar 517 001 5,***,,,,,,,.,.,.,.,...
699 009 1,***,,,,,,,.,.,.,.,...
699 010 2,***,,,,,,,.,.,.,.,...
Special Problems Course Total 3,***,,,,,,,,,,,
Seminar 900 001 9,4.000,100.0 .....,.,,,.,.,.,.,.,.,...
990 003 3,***,,,,,,,.,.,.,.,...
990 009 4,***,,,,,,,.,.,.,.,...
990 010 1,***,,,,,,,.,.,.,.,...
990 014 3,***,,,,,,,.,.,.,.,...
990 018 4,***,,,,,,,.,.,.,.,...
990 025 1,***,,,,,,,.,.,.,.,...
990 030 1,***,,,,,,,.,.,.,.,...
990 033 2,***,,,,,,,.,.,.,.,...
990 035 2,***,,,,,,,.,.,.,.,...
990 038 1,***,,,,,,,.,.,.,.,...
990 039 4,***,,,,,,,.,.,.,.,...
Research Course Total 26,,.  .  .  .  .  .,,.,,15.4,.,.,.,84.6,,.  .  .  .
"January 27, 2020",,,,,,,,,,,,Page 3 of 420
* Please note: This report does not combine crosslisted courses,,,,,,,,,,,,
"*** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.",,,,,,,,,,,,
TERM : 1202,,Percentage Distribution of Grades,,,,,,,,,,,,Office of the Registrar
Fall 2019-2020,,University of Wisconsin - Madison,,,,,,,,,,,,
"",,(Non-Cross Listed),,,,,,,,,,,,
ALS,,,,,,,,,,,,,,
BIOLOGICAL SYSTEMS ENGINEESection #,Ave,A AB B BC C D,F,,,S,U,,CR,N,,P,I,NW NR Other
112 BSE Grades,GPA,,,,,,,,,,,,,
112 BSE Dept. Total 449,3.296,27.2 20.9 24.7 8.5 5.8 0.4,,.,,0.9,,.,1.1,,.,4.9,5.3,.  0.2 .
Summary by Level #,Ave,A AB B BC C D,F,,,S,U,,CR,N,,P,I,NW NR Other
112 BSE Grades,GPA,,,,,,,,,,,,,
Freshmen 1,***,,,,,,,,.,,.,.,,.  .  .  .
Sophomore 36,3.106,19.4 25.0 33.3 8.3 11.1 2.8,,.,,.,,.,.,,.,.,,.  .  .  .
Junior 100,3.289,31.0 24.0 28.0 10.0 7.0 .,,.,,.,,.,.,,.,.,,.  .  .  .
Senior 270,3.322,27.4 21.9 25.6 8.9 5.2 0.4,,.,,.,,.,1.9,,.,.,8.9,.  .  .
Undergraduates 407,3.293,27.5 22.6 27.0 9.1 6.1 0.5,,.,,.,,.,1.2,,.,.,5.9,.  .  .
Special 4,***,,,,,,,,.,,.,.,,.  .  25.0 .
Graduate 38,3.684,26.3 2.6 .  2.6 .  .,,.,,10.5,,.,.,,.,57.9,,.  .  .  .
Dept. Total 449,3.296,27.2 20.9 24.7 8.5 5.8 0.4,,.,,0.9,,.,1.1,,.,4.9,5.3,.  0.2 .
"January 27, 2020",,,,,,,,,,,,,,Page 4 of 420
* Please note: This report does not combine crosslisted courses,,,,,,,,,,,,,,
"*** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.",,,,,,,,,,,,,,
TERM : 1202,,Percentage Distribution of Grades,,,,,,,,,,,Office of the Registrar
Fall 2019-2020,,University of Wisconsin - Madison,,,,,,,,,,,
"",,(Non-Cross Listed),,,,,,,,,,,
ALS,,,,,,,,,,,,,
LIFE SCIENCES COMMUNICATIO Section #,Ave,A AB B BC C D,F,,S,,U,CR,N,P,,I,NW NR Other
120 LSC Grades,GPA,,,,,,,,,,,,
100 001 16,3.625,87.5 ...6.3 .,6.3,,.,,.,.,.,.,,.,...
100 002 16,3.281,25.0 37.5 18.8 6.3 12.5 .,.,,.,,.,.,.,.,,.,...
100 003 16,3.688,56.3 31.3 6.3 6.3 ..,.,,.,,.,.,.,.,,.,...
100 004 16,3.813,75.0 12.5 12.5 ...,.,,.,,.,.,.,.,,.,...
100 005 15,3.857,66.7 26.7 ....,.,,.,,.,.,.,.,,6.7,...
100 006 15,3.233,26.7 46.7 13.3 ..13.3,.,,.,,.,.,.,.,,.,...
100 007 15,3.933,86.7 13.3 ....,.,,.,,.,.,.,.,,.,...
100 008 16,3.406,50.0 25.0 12.5 6.3 ..,6.3,,.,,.,.,.,.,,.,...
100 009 16,3.531,68.8 12.5 6.3 6.3 ..,6.3,,.,,.,.,.,.,,.,...
100 010 15,3.267,33.3 26.7 13.3 13.3 13.3 .,.,,.,,.,.,.,.,,.,...
100 011 16,3.906,81.3 18.8 ....,.,,.,,.,.,.,.,,.,...
100 012 16,3.719,56.3 37.5 .6.3 ..,.,,.,,.,.,.,.,,.,...
100 013 16,3.906,81.3 18.8 ....,.,,.,,.,.,.,.,,.,...
100 014 15,3.667,60.0 26.7 6.7 .6.7 .,.,,.,,.,.,.,.,,.,...
100 015 15,3.700,60.0 33.3 ..6.7 .,.,,.,,.,.,.,.,,.,...
100 016 15,3.867,80.0 13.3 6.7 ...,.,,.,,.,.,.,.,,.,...
Science and Storytelling Course Total 249,3.649,62.2 23.7 6.0 2.8 2.8 0.8,1.2,,.,,.,.,.,,.,0.4,.  .  .
Sci&Technology Newswriting 111 001 15,2.700,26.7 20.0 .13.3 26.7 6.7,6.7,,.,,.,.,.,.,,.,...
212 001 19,3.632,52.6 26.3 15.8 5.3 ..,.,,.,,.,.,.,.,,.,...
212 002 20,3.825,75.0 15.0 10.0 ...,.,,.,,.,.,.,.,,.,...
212 003 16,3.531,81.3 6.3 ...6.3,6.3,,.,,.,.,.,.,,.,...
Intro-Scientific Communication Course Total 55,3.673,69.1 16.4 9.1 1.8 .  1.8,1.8,,.,,.,.,.,,.,,.  .  .  .
Comm in Life Sci Industries 270 001 39,3.577,64.1 10.3 10.3 7.7 7.7 .,.,,.,,.,.,.,.,,.,...
Intro to Digital Video Prod 314 001 26,3.192,26.9 19.2 30.8 11.5 11.5 .,.,,.,,.,.,.,.,,.,...
Print&Electronic Media Dsgn 332 001 22,3.955,90.9 9.1 ....,.,,.,,.,.,.,.,,.,...
Information Radio 360 001 17,3.765,70.6 11.8 17.6 ...,.,,.,,.,.,.,.,,.,...
Coord Intrnshp/Cooprtv Educ 399 001 4,***,,,,,,,.,.,.,,.,...
Social Media for Life Sciences 432 001 32,3.609,65.6 21.9 6.3 ..3.1,3.1,,.,,.,.,.,.,,.,...
Contemp Comm Tech&Soc Effct 440 001 19,3.368,36.8 31.6 15.8 .15.8 .,.,,.,,.,.,.,.,,.,...
Photography for the Sciences 450 001 26,3.660,53.8 23.1 15.4 3.8 ..,.,,3.8,,.,.,.,.,,.,...
Web Design for the Sciences 532 001 25,3.700,60.0 28.0 8.0 .4.0 .,.,,.,,.,.,.,.,,.,...
Risk Communication 625 001 35,3.786,62.9 34.3 .2.9 ..,.,,.,,.,.,.,.,,.,...
Case Studies-Com of Sci & Tech 640 001 16,3.656,75.0 18.8 ....,6.3,,.,,.,.,.,.,,.,...
699 002 1,***,,,,,,,.,.,.,,.,...
699 006 1,***,,,,,,,.,.,.,,.,...
Special Problems Course Total 2,***,,,,,,,,,,,,
Topics in Mass Communication 880 003 2,***,,,,,,,.,.,.,,.,...
Colloquium:Mass Communicatn 901 001 5,***,,,,,,,.,.,.,,.,...
Public Opinion-Life Sci Issues 902 001 15,3.800,66.7 26.7 6.7 ...,.,,.,,.,.,.,.,,.,...
990 010 1,***,,,,,,,.,.,.,,.,...
990 013 1,***,,,,,,,.,.,.,,.,...
990 025 3,***,,,,,,,.,.,.,,.,...
990 035 1,***,,,,,,,.,.,.,,.,...
"January 27, 2020",,,,,,,,,,,,,Page 5 of 420
* Please note: This report does not combine crosslisted courses,,,,,,,,,,,,,
"*** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.",,,,,,,,,,,,,
TERM : 1202,,Percentage Distribution of Grades,,,,,,,,,,,Office of the Registrar
Fall 2019-2020,,University of Wisconsin - Madison,,,,,,,,,,,
"",,(Non-Cross Listed),,,,,,,,,,,
ALS,,,,,,,,,,,,,
LIFE SCIENCES COMMUNICATIO Section #,Ave,A AB B BC C D,F,,,S,U,CR,N,P,,I,NW NR Other
120 LSC Grades,GPA,,,,,,,,,,,,
Research Course Total 6,,.  .  .  .  .  .,.,,,100.0,.,.,.,,.,,.  .  .  .
Independent Research 999 002 1,***,,,,,,,.,.,.,,.,...
120 LSC Dept. Total 611,3.624,60.6 21.3 7.7 2.9 3.4 0.8,1.1,,,1.1,.,0.8,.,,.,0.2,.  .  .
Summary by Level #,Ave,A AB B BC C D,F,,,S,U,CR,N,P,,I,NW NR Other
120 LSC Grades,GPA,,,,,,,,,,,,
Freshmen 168,3.589,57.7 26.8 6.5 3.0 3.0 1.2,1.8,,,.,.,.,.,,.,,.  .  .  .
Sophomore 116,3.591,67.2 14.7 6.0 2.6 4.3 2.6,1.7,,,.,.,.,.,,.,0.9,.  .  .
Junior 113,3.566,58.4 17.7 9.7 7.1 7.1 .,.,,,.,.,.,.,,.,,.  .  .  .
Senior 167,3.666,60.5 24.6 10.2 1.2 1.8 .,1.2,,,0.6,.,.,.,,.,,.  .  .  .
Undergraduates 564,3.607,60.6 21.8 8.2 3.2 3.7 0.9,1.2,,,0.2,.,.,.,,.,0.2,.  .  .
Special 2,***,,,,,,,.,.,,.,,.  .  .  .
Graduate 44,3.868,59.1 15.9 2.3 .  .  .,.,,,11.4,.,11.4,.,,.,,.  .  .  .
Prof Yr 4 1,***,,,,,,,.,.,,.,,.  .  .  .
Professionals 1,***,,,,,,,.,.,,.,,.  .  .  .
Dept. Total 611,3.624,60.6 21.3 7.7 2.9 3.4 0.8,1.1,,,1.1,.,0.8,.,,.,0.2,.  .  .
"January 27, 2020",,,,,,,,,,,,,Page 6 of 420
* Please note: This report does not combine crosslisted courses,,,,,,,,,,,,,
"*** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.",,,,,,,,,,,,,
TERM : 1202,,,Percentage Distribution of Grades,,,,,,,,,,Office of the Registrar
Fall 2019-2020,,,University of Wisconsin - Madison,,,,,,,,,,
"",,,(Non-Cross Listed),,,,,,,,,,
ALS,,,,,,,,,,,,,
AGROECOLOGY Section #,,Ave,A AB B BC C D,F,,,S,U,CR,N,P,I,NW NR Other
130 AGROECOL Grades,,GPA,,,,,,,,,,,
Agroecology of Food and Ag 103 002 51,,3.570,49.0 25.5 15.7 3.9 3.9 .,.,,,.,.,.,.,.,.,.2.0 .
Farm as Socio-Envir Endeavor 701 001 12,,4.000,91.7 .....,.,,,.,.,.,.,.,8.3,...
Agroecology Seminar 710 001 19,,,......,.,,,.,.,100.0,.,.,.,...
Agroecology Field Study 720 001 7,,4.000,100.0 .....,.,,,.,.,.,.,.,.,...
Agroecosystems & Global Chng 724 001 7,,3.786,57.1 42.9 ....,.,,,.,.,.,.,.,.,...
990 001 2,,***,,,,,,,.,.,.,.,...
990 006 1,,***,,,,,,,.,.,.,.,...
990 009 1,,***,,,,,,,.,.,.,.,...
990 010 1,,***,,,,,,,.,.,.,.,...
990 012 1,,***,,,,,,,.,.,.,.,...
990 025 1,,***,,,,,,,.,.,.,.,...
990 026 1,,***,,,,,,,.,.,.,.,...
Research Course Total 8,,,.  .  .  .  .  .,,.,,62.5,.,.,.,37.5,,.  .  .  .
130 AGROECOL Dept. Total 104,,3.673,45.2 15.4 7.7 1.9 1.9 .,,.,,4.8,.,18.3,.,2.9,1.0,.  1.0 .
Summary by Level #,,Ave,A AB B BC C D,F,,,S,U,CR,N,P,I,NW NR Other
130 AGROECOL Grades,,GPA,,,,,,,,,,,
Freshmen 5,,***,,,,,,,.,.,.,,.  .  .  .
Sophomore 13,,3.654,53.8 30.8 7.7 7.7 .  .,,.,,.,.,.,.,.,,.  .  .  .
Junior 18,,3.389,38.9 22.2 27.8 .  11.1 .,,.,,.,.,.,.,.,,.  .  .  .
Senior 13,,3.769,69.2 15.4 15.4 .  .  .,,.,,.,.,.,.,.,,.  .  .  .
Undergraduates 49,,3.571,51.0 24.5 16.3 4.1 4.1 .,,.,,.,.,.,.,.,,.  .  .  .
Special 2,,***,,,,,,,.,.,.,,.  .  50.0 .
Graduate 53,,3.926,41.5 5.7 .  .  .  .,,.,,9.4,.,35.8,.,5.7,1.9,.  .  .
Dept. Total 104,,3.673,45.2 15.4 7.7 1.9 1.9 .,,.,,4.8,.,18.3,.,2.9,1.0,.  1.0 .
"January 27, 2020",,,,,,,,,,,,,Page 7 of 420
* Please note: This report does not combine crosslisted courses,,,,,,,,,,,,,
"*** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.",,,,,,,,,,,,,
TERM : 1202,,,Percentage Distribution of Grades,,,,,,,,,,Office of the Registrar
Fall 2019-2020,,,University of Wisconsin - Madison,,,,,,,,,,
"",,,(Non-Cross Listed),,,,,,,,,,
ALS,,,,,,,,,,,,,
AGRONOMY Section,"#",Ave,A AB B BC C D,F,,,S,U,CR,N,P,I,NW NR Other
132 AGRONOMY Grades,,GPA,,,,,,,,,,,
Prin & Prac-Crop Production 100 001,48,3.177,29.2 25.0 16.7 10.4 18.8 .,.,,,.,.,.,.,.,.,...
Agroecology of Food and Ag 103 002,28,3.571,60.7 21.4 10.7 ..7.1,.,,,.,.,.,.,.,.,...
Introduction to Global Health 203 001,40,3.850,82.5 5.0 12.5 ...,.,,,.,.,.,.,.,.,...
299 002,1,***,,,,,,,.,.,.,.,...
299 014,1,***,,,,,,,.,.,.,.,...
Independent Study Course Total,2,***,,,,,,,,,,,
Forage Mgmt & Utilization 302 001,10,3.850,80.0 10.0 10.0 ...,.,,,.,.,.,.,.,.,...
Grassland Ecology 370 001,58,3.816,72.4 19.0 5.2 .1.7 .,.,,,.,.,.,.,.,.,.1.7 .
375 015,4,***,,,,,,,.,.,.,.,...
375 016,1,***,,,,,,,.,.,.,.,...
Special Topics Course Total,5,***,,,,,,,,,,,
399 005,1,***,,,,,,,.,.,.,.,...
399 007,1,***,,,,,,,.,.,.,.,...
Coord Intrnshp/Cooprtv Educ Course Total,2,***,,,,,,,,,,,
Ethics of Modern Biotechnology 565 001,2,***,,,,,,,.,.,.,.,...
Ecotox: The Chemical Players 632 001,6,3.300,16.7 16.7 50.0 ...,.,,,.,.,.,.,.,.,16.7 ..
Ecotox: Impacts on Individuals 633 001,6,3.583,50.0 16.7 33.3 ...,.,,,.,.,.,.,.,.,...
"Ecotox: Populatn, Comm, Ecosys 634 001",5,***,,,,,,,.,.,.,.,...
699 004,1,***,,,,,,,.,.,.,.,...
699 005,1,***,,,,,,,.,.,.,.,...
Special Problems Course Total,2,***,,,,,,,,,,,
Agroecosystems & Global Chng 724 001,4,***,,,,,,,.,.,.,.,...
799 002,1,***,,,,,,,.,.,.,.,...
799 005,1,***,,,,,,,.,.,.,.,...
Practicum-Agronomy Teaching Course Total,2,***,,,,,,,,,,,
Biometric Proc-Plnt Breedng 811 001,11,3.818,72.7 18.2 9.1 ...,.,,,.,.,.,.,.,.,...
Seminar-Plant Breeding 957 001,3,***,,,,,,,.,.,.,.,...
990 002,1,***,,,,,,,.,.,.,.,...
990 004,2,***,,,,,,,.,.,.,.,...
990 005,4,***,,,,,,,.,.,.,.,...
990 006,3,***,,,,,,,.,.,.,.,...
990 007,1,***,,,,,,,.,.,.,.,...
990 009,3,***,,,,,,,.,.,.,.,...
990 010,3,***,,,,,,,.,.,.,.,...
990 011,3,***,,,,,,,.,.,.,.,...
990 016,1,***,,,,,,,.,.,.,.,...
990 018,4,***,,,,,,,.,.,.,.,...
990 020,1,***,,,,,,,.,.,.,.,...
990 021,4,***,,,,,,,.,.,.,.,...
Research Course Total,30,,.  .  .  .  .  .,,.,,43.3,.,.,.,56.7,,.  .  .  .
"January 27, 2020",,,,,,,,,,,,,Page 8 of 420
* Please note: This report does not combine crosslisted courses,,,,,,,,,,,,,
"*** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.",,,,,,,,,,,,,
TERM : 1202,,,Percentage Distribution of Grades,,,,,,,,,,,,Office of the Registrar
Fall 2019-2020,,,University of Wisconsin - Madison,,,,,,,,,,,,
"",,,(Non-Cross Listed),,,,,,,,,,,,
ALS,,,,,,,,,,,,,,,
AGRONOMY Section,"#",Ave,A AB B BC C D,F,,,S,U,,CR,N,,P,I,NW NR Other
132 AGRONOMY,Grades,GPA,,,,,,,,,,,,,
132 AGRONOMY Dept. Total,264,3.606,54.5 14.8 11.4 1.9 3.8 0.8,,.,,4.9,,.,.,,.,6.4,0.4,0.8 0.4 .
Summary by Level,"#",Ave,A AB B BC C D,F,,,S,U,,CR,N,,P,I,NW NR Other
132 AGRONOMY,Grades,GPA,,,,,,,,,,,,,
Freshmen,21,3.290,28.6 33.3 19.0 9.5 9.5 .,,.,,.,,.,.,,.,.,,.  .  .  .
Sophomore,42,3.558,61.9 14.3 14.3 2.4 4.8 2.4,,.,,.,,.,.,,.,.,,.  .  .  .
Junior,39,3.540,64.1 15.4 7.7 5.1 7.7 .,,.,,.,,.,.,,.,.,,.  .  .  .
Senior,91,3.689,65.9 15.4 14.3 .  3.3 1.1,,.,,.,,.,.,,.,.,,.  .  .  .
Undergraduates,193,3.572,60.6 17.1 13.5 2.6 5.2 1.0,,.,,.,,.,.,,.,.,,.  .  .  .
Special,3,***,,,,,,,,.,,.,.,,.  .  33.3 .
Graduate,68,3.830,38.2 8.8 4.4 .  .  .,,.,,19.1,,.,.,,.,25.0,1.5,2.9 .  .
Dept. Total,264,3.606,54.5 14.8 11.4 1.9 3.8 0.8,,.,,4.9,,.,.,,.,6.4,0.4,0.8 0.4 .
"January 27, 2020",,,,,,,,,,,,,,,Page 9 of 420
* Please note: This report does not combine crosslisted courses,,,,,,,,,,,,,,,
"*** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.",,,,,,,,,,,,,,,
TERM : 1202,,,Percentage Distribution of Grades,,,,,,,,,,,Office of the Registrar
Fall 2019-2020,,,University of Wisconsin - Madison,,,,,,,,,,,
"",,,(Non-Cross Listed),,,,,,,,,,,
ALS,,,,,,,,,,,,,,
MICROBIOLOGY Section,"#",Ave,A AB B BC C D,F,,S,,U,CR,N,P,,I,NW NR Other
192 MICROBIO Grades,,GPA,,,,,,,,,,,,
General Microbiology 101 001,317,3.069,29.3 12.3 30.3 9.1 14.2 4.4,0.3,,.,,.,.,.,.,,.,...
102 001,34,3.603,52.9 14.7 32.4 ...,.,,.,,.,.,.,.,,.,...
102 002,25,3.460,40.0 20.0 36.0 .4.0 .,.,,.,,.,.,.,.,,.,...
102 003,33,3.455,33.3 24.2 42.4 ...,.,,.,,.,.,.,.,,.,...
102 004,33,3.152,18.2 15.2 51.5 9.1 6.1 .,.,,.,,.,.,.,.,,.,...
General Microbiology Lab Course Total,125,3.416,36.0 18.4 40.8 2.4 2.4 .,.,,.,,.,.,.,,.,,.  .  .  .
299 010,1,***,,,,,,,.,.,.,,.,...
299 013,4,***,,,,,,,.,.,.,,.,...
